t_session_sec,abs_ts,phase_rec,trial_idx_rec,attention_rec,attention_pct_rec,attention_window_open_rec,theta_power_rec,smr_power_rec,beta1_power_rec
35.1160,1785919051.533787,A,3,0.9347,0.9433,1,0.1590,1.2187,0.6325
35.1936,1785919051.610817,A,3,0.9473,0.9767,1,0.1498,1.2678,0.6628
35.2892,1785919051.706331,B,3,0.9551,0.9733,1,0.1526,1.2912,0.6552
35.3672,1785919051.784132,B,3,0.9546,0.9533,1,0.1588,1.2867,0.6567
35.4453,1785919051.862344,B,3,0.9492,0.9367,1,0.1647,1.2682,0.6429
35.5242,1785919051.941383,B,3,0.9494,0.9500,1,0.1597,1.2598,0.6590
35.6043,1785919052.021274,B,3,0.9546,0.9667,1,0.1544,1.2899,0.6610
35.6838,1785919052.100841,B,3,0.9432,0.9167,1,0.1621,1.2268,0.6219
35.7618,1785919052.178794,B,3,0.9003,0.8000,1,0.2035,1.0453,0.5448
35.8414,1785919052.258357,B,3,0.8902,0.8667,1,0.1736,1.1502,0.6004
35.9194,1785919052.336363,B,3,0.8961,0.9100,1,0.1638,1.2188,0.6312
35.9990,1785919052.415932,B,3,0.8843,0.8567,1,0.1805,1.1715,0.6054
36.0606,1785919052.477461,B,3,0.8760,0.8567,1,0.1795,1.1673,0.6061
36.1408,1785919052.557878,B,3,0.8772,0.8800,1,0.1699,1.2164,0.6072
36.2197,1785919052.636627,B,3,0.8650,0.8367,1,0.1842,1.1340,0.5950
36.2987,1785919052.715630,B,3,0.8445,0.7967,1,0.1979,1.0743,0.5690
36.3768,1785919052.793669,B,3,0.8852,0.9800,1,0.1531,1.3248,0.6633
36.4568,1785919052.873687,B,3,0.8686,0.8300,1,0.1860,1.1448,0.5909
36.5348,1785919052.951747,B,3,0.8580,0.8333,1,0.1849,1.1674,0.5938
36.6132,1785919053.030067,B,3,0.8466,0.8200,1,0.1888,1.1344,0.5915
36.6933,1785919053.110315,B,3,0.8166,0.7467,1,0.2112,1.0288,0.5357
36.7712,1785919053.188196,B,3,0.7966,0.7500,1,0.2118,1.0447,0.5344
36.8492,1785919053.266145,B,3,0.7827,0.7500,1,0.2125,1.0398,0.5436
36.9272,1785919053.344163,B,3,0.7549,0.6900,1,0.2327,1.0053,0.5273
37.0051,1785919053.422007,B,3,0.7334,0.6833,1,0.2264,0.9535,0.5061
37.0831,1785919053.499993,B,3,0.7344,0.7367,1,0.2104,1.0153,0.5335
37.1612,1785919053.578359,B,3,0.7061,0.6400,1,0.2444,0.9308,0.5024
37.2412,1785919053.658046,B,3,0.7222,0.7600,1,0.2031,1.0235,0.5514
37.3201,1785919053.736968,B,3,0.6896,0.6133,0,0.2556,0.9152,0.4789
37.4007,1785919053.817657,B,3,0.7127,0.7667,1,0.2028,1.0444,0.5469
37.4781,1785919053.895013,B,3,0.6819,0.6100,0,0.2520,0.8792,0.4707
37.5559,1785919053.972831,B,3,0.6643,0.6233,0,0.2507,0.9182,0.4952
37.6330,1785919054.049858,B,3,0.6870,0.7400,0,0.2107,1.0184,0.5455
37.7099,1785919054.126850,B,3,0.6769,0.6533,0,0.2380,0.9412,0.5078
37.7879,1785919054.204801,B,3,0.6388,0.5500,0,0.2670,0.8625,0.4561
37.8679,1785919054.284802,B,3,0.6222,0.5833,0,0.2646,0.8768,0.4719
37.9460,1785919054.362926,B,3,0.6345,0.6633,0,0.2332,0.9418,0.5044
38.0251,1785919054.442116,B,3,0.6442,0.6667,0,0.2339,0.9562,0.5114
38.1038,1785919054.520670,B,3,0.6579,0.6900,0,0.2233,0.9636,0.5160
38.1828,1785919054.599930,B,3,0.6745,0.7133,0,0.2162,1.0260,0.5227
38.2608,1785919054.677668,B,3,0.6742,0.6733,0,0.2267,0.9694,0.5069
38.3236,1785919054.740478,B,3,0.6709,0.6633,0,0.2256,0.9580,0.4939
38.4022,1785919054.819196,B,3,0.6496,0.6000,0,0.2453,0.8945,0.4788
38.4813,1785919054.898220,B,3,0.6628,0.6933,0,0.2237,0.9704,0.5199
38.5606,1785919054.977482,B,3,0.6359,0.5733,0,0.2579,0.8796,0.4678
38.6399,1785919055.056831,B,3,0.6161,0.5700,0,0.2528,0.8448,0.4597
38.7187,1785919055.135618,B,3,0.6483,0.7233,0,0.2115,1.0099,0.5397
38.7967,1785919055.213767,B,3,0.6108,0.5233,0,0.2652,0.8363,0.4600
