t_session_sec,abs_ts,phase_rec,trial_idx_rec,relaxation_rec,relaxation_pct_rec,relaxation_window_open_rec,alpha_power_rec,beta1_power_rec,beta2_power_rec
39.1129,1785919346.532142,B,3,0.5761,0.6367,0,1.4397,0.3093,0.3419
39.1930,1785919346.611928,B,3,0.6333,0.7667,0,1.6244,0.3867,0.2861
39.2721,1785919346.691303,B,3,0.6623,0.7300,0,1.5728,0.3383,0.3214
39.3511,1785919346.770113,B,3,0.6986,0.7833,0,1.6263,0.3748,0.2880
39.4314,1785919346.850636,B,3,0.6950,0.6867,0,1.5413,0.3511,0.3124
39.5086,1785919346.927807,B,3,0.6795,0.6433,0,1.4615,0.3466,0.3077
39.5867,1785919347.005688,B,3,0.6697,0.6467,0,1.4616,0.3608,0.2953
39.6641,1785919347.083045,B,3,0.6658,0.6567,0,1.4648,0.3879,0.2675
39.7423,1785919347.161589,B,3,0.6020,0.4533,0,1.3327,0.3603,0.3041
39.8224,1785919347.241702,B,3,0.5714,0.5000,0,1.3290,0.3540,0.2979
39.9003,1785919347.319720,B,3,0.5880,0.6267,0,1.4322,0.3887,0.2713
39.9785,1785919347.397850,B,3,0.6036,0.6400,0,1.4597,0.3701,0.2902
40.0566,1785919347.475737,B,3,0.6185,0.6533,0,1.4705,0.3585,0.3006
40.1344,1785919347.553299,B,3,0.6520,0.7300,0,1.5734,0.3863,0.2813
40.2124,1785919347.631555,B,3,0.6834,0.7567,0,1.6232,0.3904,0.2856
40.2907,1785919347.709580,B,3,0.7304,0.8400,1,1.6572,0.3773,0.2800
40.3688,1785919347.788111,B,3,0.7563,0.8167,1,1.6428,0.3863,0.2721
40.4469,1785919347.866156,B,3,0.7244,0.6500,1,1.4917,0.3284,0.3253
40.5269,1785919347.946423,B,3,0.7381,0.7700,1,1.5925,0.4117,0.2492
40.6053,1785919348.024502,B,3,0.6806,0.5467,0,1.3868,0.3534,0.3058
40.6820,1785919348.101379,B,3,0.6575,0.6033,0,1.4021,0.3624,0.2921
40.7587,1785919348.177607,B,3,0.5762,0.3867,0,1.2750,0.3302,0.3342
40.8382,1785919348.257228,B,3,0.5204,0.3900,0,1.2634,0.3220,0.3358
40.9168,1785919348.336275,B,3,0.4822,0.3933,0,1.2964,0.3347,0.3382
40.9947,1785919348.413672,B,3,0.4946,0.5233,0,1.3738,0.3362,0.3276
41.0732,1785919348.492393,B,3,0.5162,0.5667,0,1.4284,0.3429,0.3294
41.1520,1785919348.571361,B,3,0.5593,0.6600,0,1.5020,0.3426,0.3258
41.2310,1785919348.649991,B,3,0.5625,0.5700,0,1.4646,0.3040,0.3731
41.3090,1785919348.728257,B,3,0.5998,0.6867,0,1.5214,0.3340,0.3320
41.3889,1785919348.808171,B,3,0.5778,0.5267,0,1.4147,0.2911,0.3765
41.4672,1785919348.886203,B,3,0.5455,0.4700,0,1.4101,0.3176,0.3660
41.5461,1785919348.965422,B,3,0.5048,0.4100,0,1.3314,0.2930,0.3736
41.6247,1785919349.044375,B,3,0.4534,0.3333,0,1.2389,0.2915,0.3676
41.7025,1785919349.121910,B,3,0.3744,0.1900,0,1.1692,0.2978,0.3868
41.7825,1785919349.201877,B,3,0.3061,0.1467,0,1.1222,0.2869,0.4008
41.8604,1785919349.279953,B,3,0.2612,0.1567,0,1.1244,0.2628,0.4119
41.9404,1785919349.359522,B,3,0.2589,0.2533,0,1.2032,0.2644,0.4062
42.0187,1785919349.437922,B,3,0.3082,0.4233,0,1.3154,0.2889,0.3724
42.0985,1785919349.517600,B,3,0.2697,0.1800,0,1.2185,0.2211,0.4702
42.1767,1785919349.595504,B,3,0.2728,0.2800,0,1.2954,0.2214,0.4719
42.2565,1785919349.675321,B,3,0.3170,0.4200,0,1.3822,0.2577,0.4300
42.3345,1785919349.753732,B,3,0.3329,0.3700,0,1.3228,0.2272,0.4459
42.4144,1785919349.833314,B,3,0.2820,0.1633,0,1.2454,0.2083,0.4982
42.4926,1785919349.911837,B,3,0.2834,0.2867,0,1.2339,0.2333,0.4384
42.5725,1785919349.991702,B,3,0.2134,0.0500,0,1.0800,0.1880,0.5363
42.6505,1785919350.069426,B,3,0.1804,0.1033,0,1.0675,0.2234,0.4693
42.7306,1785919350.149418,B,3,0.1483,0.0733,0,1.0233,0.2159,0.4779
42.8086,1785919350.227970,B,3,0.1338,0.1000,0,1.0460,0.2218,0.4661
42.8884,1785919350.307784,B,3,0.1036,0.0333,0,1.0107,0.1959,0.5214
42.9667,1785919350.386060,B,3,0.1126,0.1333,0,1.1054,0.2158,0.4749
43.0465,1785919350.465686,B,3,0.1078,0.0967,0,1.1464,0.1994,0.5239
43.1246,1785919350.543766,B,3,0.1265,0.1700,0,1.2175,0.2000,0.5065
43.2035,1785919350.622705,B,3,0.1605,0.2400,0,1.2794,0.2076,0.4944
43.2797,1785919350.699372,B,3,0.1594,0.1567,0,1.2522,0.1813,0.5394
43.3564,1785919350.775286,B,3,0.1546,0.1433,0,1.2076,0.1858,0.5332
43.4344,1785919350.853264,B,3,0.1342,0.0867,0,1.1616,0.1782,0.5529
43.5122,1785919350.931362,B,3,0.1179,0.0800,0,1.1364,0.1761,0.5506
43.5921,1785919351.011272,B,3,0.1226,0.1333,0,1.0800,0.1991,0.4905
43.6703,1785919351.089650,B,3,0.0878,0.0067,0,0.9775,0.1726,0.5637
43.7480,1785919351.167298,B,3,0.0855,0.0800,0,1.0233,0.2232,0.4745
43.8282,1785919351.247478,B,3,0.0628,0.0100,0,0.9796,0.1922,0.5476
43.9063,1785919351.325405,B,3,0.0480,0.0133,0,0.9951,0.1683,0.5694
43.9842,1785919351.403292,B,3,0.0566,0.0767,0,1.0675,0.1878,0.5255
44.0611,1785919351.480031,B,3,0.0876,0.1600,0,1.1645,0.1897,0.5198
44.1404,1785919351.559674,B,3,0.1263,0.2167,0,1.2058,0.1955,0.4987
44.2188,1785919351.638547,B,3,0.1424,0.1800,0,1.2298,0.1867,0.5344
44.2964,1785919351.715891,B,3,0.2137,0.3800,0,1.3089,0.2231,0.4640
44.3743,1785919351.793439,B,3,0.2036,0.1800,0,1.2318,0.1778,0.5427
44.4543,1785919351.873724,B,3,0.1735,0.1033,0,1.1555,0.1818,0.5493
44.5323,1785919351.951182,B,3,0.1665,0.1500,0,1.1206,0.1957,0.5107
44.6123,1785919352.031619,B,3,0.1475,0.1033,0,1.0595,0.2075,0.4945
44.6896,1785919352.108790,B,3,0.1123,0.0300,0,1.0062,0.1799,0.5475
44.7685,1785919352.187506,B,3,0.0966,0.0600,0,1.0030,0.2031,0.5028
44.8462,1785919352.265091,B,3,0.1046,0.1233,0,1.0347,0.2142,0.4764
44.9240,1785919352.343721,B,3,0.1052,0.1067,0,1.0439,0.1977,0.4974
45.0039,1785919352.422827,B,3,0.1297,0.1867,0,1.1373,0.2202,0.4845
45.0822,1785919352.501351,B,3,0.1518,0.2033,0,1.1755,0.2152,0.4931
45.1619,1785919352.581744,B,3,0.2092,0.3433,0,1.2765,0.2329,0.4631
45.2411,1785919352.660271,B,3,0.2455,0.3300,0,1.2801,0.2063,0.4915
45.3348,1785919352.754085,A,4,0.2968,0.4167,0,1.2976,0.2333,0.4533
45.4152,1785919352.834396,A,4,0.3538,0.4867,0,1.3325,0.2584,0.4268
45.4949,1785919352.914355,A,4,0.3486,0.3367,0,1.2323,0.2344,0.4500
45.5748,1785919352.994026,A,4,0.3201,0.2533,0,1.1538,0.2389,0.4478
45.6527,1785919353.071745,A,4,0.2540,0.1000,0,1.0476,0.2185,0.4852
45.7309,1785919353.149967,A,4,0.2228,0.1500,0,1.0559,0.2376,0.4587
45.8111,1785919353.230299,A,4,0.1920,0.1200,0,1.0258,0.2172,0.4729
45.8888,1785919353.308147,A,4,0.1934,0.1967,0,1.0963,0.2346,0.4586
45.9687,1785919353.387736,A,4,0.2284,0.3100,0,1.1880,0.2581,0.4286
46.0467,1785919353.465910,A,4,0.2939,0.4467,0,1.2768,0.2716,0.4120
46.1265,1785919353.545324,A,4,0.3317,0.4200,0,1.2719,0.2323,0.4514
46.2044,1785919353.623981,A,4,0.3912,0.5300,0,1.3611,0.2599,0.4235
46.2822,1785919353.701140,A,4,0.3998,0.4200,0,1.3084,0.2275,0.4681
46.3605,1785919353.780361,A,4,0.4329,0.5100,0,1.3382,0.2563,0.4294
46.4406,1785919353.859932,A,4,0.4410,0.4600,0,1.2992,0.2387,0.4393
46.5166,1785919353.935388,A,4,0.3807,0.2400,0,1.1747,0.2137,0.4868
46.5960,1785919354.014977,A,4,0.3705,0.3467,0,1.1868,0.2702,0.4075
46.6750,1785919354.094200,A,4,0.3233,0.2133,0,1.0953,0.2516,0.4397
46.7548,1785919354.173757,A,4,0.2763,0.1667,0,1.0471,0.2267,0.4612
46.8330,1785919354.252360,A,4,0.2514,0.1933,0,1.0788,0.2431,0.4477
46.9130,1785919354.332603,A,4,0.2340,0.1933,0,1.0843,0.2300,0.4600
46.9897,1785919354.409088,A,4,0.2528,0.2967,0,1.1639,0.2380,0.4450
47.0670,1785919354.486176,A,4,0.2770,0.3333,0,1.2303,0.2311,0.4644
47.1449,1785919354.564491,A,4,0.3499,0.5200,0,1.3131,0.2479,0.4290
47.2218,1785919354.641091,A,4,0.3939,0.4967,0,1.3377,0.2385,0.4503
47.3010,1785919354.720359,A,4,0.4387,0.5433,0,1.3579,0.2376,0.4467
47.3790,1785919354.798699,A,4,0.4671,0.5333,0,1.3257,0.2428,0.4360
47.4569,1785919354.876177,A,4,0.4070,0.2667,0,1.2047,0.2119,0.4942
47.5347,1785919354.953637,A,4,0.3479,0.2100,0,1.1637,0.2203,0.4952
47.6148,1785919355.034333,A,4,0.3315,0.2933,0,1.1321,0.2405,0.4363
47.6928,1785919355.111601,A,4,0.2641,0.1067,0,1.0486,0.2063,0.4937
47.7709,1785919355.189803,A,4,0.2168,0.1067,0,1.0266,0.2275,0.4697
47.8501,1785919355.269223,A,4,0.2108,0.1967,0,1.0656,0.2368,0.4483
47.9268,1785919355.346192,A,4,0.1776,0.1000,0,1.0634,0.2141,0.4953
48.0039,1785919355.422838,A,4,0.2033,0.2633,0,1.1609,0.2210,0.4778
48.0830,1785919355.502184,A,4,0.2683,0.4200,0,1.2515,0.2345,0.4519
48.1627,1785919355.581881,A,4,0.3108,0.4100,0,1.2627,0.2309,0.4626
48.2408,1785919355.659873,A,4,0.3266,0.3633,0,1.2579,0.2039,0.4954
48.3191,1785919355.738391,A,4,0.3466,0.3933,0,1.2990,0.2117,0.4951
48.3970,1785919355.816484,A,4,0.3266,0.2800,0,1.2314,0.1992,0.5170
48.4745,1785919355.893529,A,4,0.3106,0.2733,0,1.2037,0.2116,0.4978
48.5535,1785919355.972690,A,4,0.2904,0.2433,0,1.1450,0.2251,0.4741
48.6316,1785919356.050492,A,4,0.2623,0.1967,0,1.0986,0.2378,0.4642
48.7116,1785919356.130455,A,4,0.2466,0.2100,0,1.0861,0.2299,0.4607
48.7886,1785919356.207703,A,4,0.2476,0.2500,0,1.0952,0.2458,0.4418
48.8676,1785919356.286618,A,4,0.2273,0.1800,0,1.0659,0.2258,0.4679
48.9476,1785919356.366495,A,4,0.2481,0.2967,0,1.1417,0.2457,0.4466
49.0260,1785919356.445276,A,4,0.2707,0.3233,0,1.1856,0.2488,0.4538
